PersonID,EventID,FirstName,LastName,JobTitle,DateOfBirth,CompanyID,HireDate,LayOffDate
41657,7252,John,Herrera,Web Developer,4/25/93,6,10/7/21,12/18/23
87522,2896,Cynthia,Bauer,Network Engineer,6/30/75,6,6/28/18,12/18/23
35310,4083,Kayla,Hernandez,Data Scientist,11/13/73,6,12/10/22,12/18/23
49496,3848,Amber,Turner,Database Administrator,1/23/80,6,1/17/16,12/18/23
27255,2046,Anthony,West,Tech Support Specialist,6/26/76,6,2/2/17,12/18/23
98991,8324,Michael,Miller,Security Analyst,7/26/73,6,7/3/15,12/18/23
81088,2971,Paige,Vaughan,Network Engineer,10/18/93,6,6/25/14,12/18/23
42188,1363,Kimberly,Smith,IT Specialist,4/24/71,6,7/1/17,12/18/23
24708,2162,Samuel,Fletcher,Product Manager,10/23/83,6,1/23/20,12/18/23
21146,1893,John,Cox,Product Manager,9/12/86,6,8/2/17,12/18/23
38237,5278,Roberta,Anderson,Product Manager,12/22/95,6,10/19/20,12/18/23
78488,4448,Sandra,Myers,DevOps Engineer,6/23/95,6,11/20/20,12/18/23
16473,3553,Justin,Young,Data Scientist,9/5/88,6,10/6/15,12/18/23
68343,9975,Karen,Zimmerman,Security Analyst,3/6/74,6,10/29/22,12/18/23
91174,8982,Timothy,Green,Software Engineer,1/8/88,6,1/8/22,12/18/23
10014,4725,Mary,White,Database Administrator,11/17/94,6,9/10/20,12/18/23
34769,1223,April,Wright,Web Developer,12/3/76,6,4/18/21,12/18/23
19585,6252,Michael,Smith,UX Designer,4/24/89,6,10/8/16,12/18/23
95321,9093,Samantha,Berger,Network Engineer,4/20/79,6,8/31/20,12/18/23
74404,5356,Michael,Smith,Database Administrator,10/3/79,6,3/15/21,12/18/23
64053,6330,Heidi,Campbell,Systems Analyst,5/30/76,21,7/17/19,12/13/23
47952,6036,Christopher,Murphy,Product Manager,6/2/79,21,12/7/15,12/13/23
88830,5495,Marcus,Bentley,Software Engineer,8/26/74,21,4/21/21,12/13/23
61779,9536,Ashley,Leon,UX Designer,9/6/75,21,11/28/19,12/13/23
20948,3634,Stephen,Ward,Systems Analyst,11/8/90,21,11/26/16,12/13/23
12132,3473,Barbara,Walker,Database Administrator,4/27/72,21,1/3/20,12/13/23
29625,1204,Karen,Garcia,Network Engineer,7/19/74,21,5/20/21,12/13/23
29739,9980,Christopher,Preston,IT Specialist,11/26/79,21,1/1/22,12/13/23
57946,4679,Brenda,Oliver,IT Specialist,10/20/90,21,7/25/18,12/13/23
38206,2626,Timothy,Garcia,DevOps Engineer,12/19/79,21,4/8/21,12/13/23
84481,3858,Mark,Herrera,Software Engineer,10/19/93,21,9/25/22,12/13/23
87202,8389,Melissa,Harvey,Software Engineer,8/8/85,21,10/21/22,12/13/23
93143,8864,Traci,Lewis,Tech Support Specialist,11/10/88,21,12/29/22,12/13/23
80731,4777,Stephanie,Reed,Tech Support Specialist,4/15/93,21,3/20/21,12/13/23
37823,9006,Devin,Gonzalez,Database Administrator,9/25/77,21,1/20/17,12/13/23
